"event","experiment time","system time","system time text"
"START",0.000000000E0,1704814142.937,"2024-01-09 16:29:02.937 UTC+01:00"
"PAUSE",2.869511686E1,1704814171.632,"2024-01-09 16:29:31.632 UTC+01:00"
