"event","experiment time","system time","system time text"
"START",0.000000000E0,1704986511.964,"2024-01-11 16:21:51.964 UTC+01:00"
"PAUSE",3.867016536E2,1704986898.666,"2024-01-11 16:28:18.666 UTC+01:00"
