"event","experiment time","system time","system time text"
"START",0.000000000E0,1704455663.987,"2024-01-05 12:54:23.987 UTC+01:00"
"PAUSE",3.110721075E1,1704455695.094,"2024-01-05 12:54:55.094 UTC+01:00"
