"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.957497590E-1,-2.645999908E1,2.484000015E1,-5.657999802E1,6.721944164E1
8.057497920E-1,-2.651999855E1,2.465999985E1,-5.687999725E1,6.742966708E1
8.157497920E-1,-2.651999855E1,2.387999916E1,-5.777999878E1,6.791239167E1
8.257497920E-1,-2.765999985E1,2.219999886E1,-5.831999969E1,6.825787797E1
8.357497920E-1,-2.711999893E1,2.255999947E1,-6.005999756E1,6.965379548E1
8.457497580E-1,-2.657999992E1,2.285999870E1,-5.981999969E1,6.933619762E1
8.557497580E-1,-2.693999863E1,2.279999924E1,-5.934000015E1,6.904229942E1
8.657497580E-1,-2.742000008E1,2.231999969E1,-5.915999985E1,6.891984020E1
8.757497580E-1,-2.784000015E1,2.226000023E1,-5.957999802E1,6.942873600E1
8.857488910E-1,-2.831999969E1,2.213999939E1,-5.981999969E1,6.978992993E1
8.957488910E-1,-2.843999863E1,2.171999931E1,-6.011999893E1,6.996432065E1
9.057488910E-1,-2.735999870E1,2.268000031E1,-6.095999908E1,7.056254978E1
9.157488910E-1,-2.742000008E1,2.255999947E1,-6.107999802E1,7.065108731E1
9.257488910E-1,-2.742000008E1,2.255999947E1,-6.071999741E1,7.034008861E1
9.357488910E-1,-2.723999977E1,2.273999977E1,-6.071999741E1,7.032811146E1
9.457488910E-1,-2.771999931E1,2.237999916E1,-6.018000031E1,6.993493520E1
9.557488910E-1,-2.735999870E1,2.268000031E1,-6.005999756E1,6.978649762E1
9.657488910E-1,-2.777999878E1,2.213999939E1,-5.969999695E1,6.946940003E1
9.757488910E-1,-2.735999870E1,2.279999924E1,-5.963999939E1,6.946466023E1
9.857497570E-1,-2.735999870E1,2.315999985E1,-5.987999725E1,6.978946334E1
9.957497570E-1,-2.759999847E1,2.268000031E1,-5.957999802E1,6.946883109E1
1.005749790E0,-2.711999893E1,2.334000015E1,-6.000000000E1,6.985878577E1
1.015749790E0,-2.700000000E1,2.339999962E1,-6.023999786E1,7.003868449E1
1.025749790E0,-2.651999855E1,2.393999863E1,-6.053999710E1,7.029598215E1
1.035749790E0,-2.597999954E1,2.460000038E1,-6.084000015E1,7.058063483E1
1.045749823E0,-2.561999893E1,2.489999962E1,-6.089999771E1,7.060597742E1
1.055749823E0,-2.609999847E1,2.442000008E1,-6.084000015E1,7.056239751E1
1.065749823E0,-2.634000015E1,2.400000000E1,-6.071999741E1,7.040393237E1
1.075749823E0,-2.676000023E1,2.369999886E1,-6.035999680E1,7.015067192E1
1.085748923E0,-2.711999893E1,2.327999878E1,-6.035999680E1,7.014828507E1
1.095748889E0,-2.693999863E1,2.334000015E1,-6.023999786E1,6.999554611E1
1.105748855E0,-2.663999939E1,2.327999878E1,-6.059999847E1,7.017127422E1
1.115748855E0,-2.700000000E1,2.303999901E1,-6.077999878E1,7.038501123E1
1.125748855E0,-2.681999969E1,2.327999878E1,-6.053999710E1,7.018804724E1
1.135748855E0,-2.645999908E1,2.369999886E1,-6.059999847E1,7.024372792E1
1.145748855E0,-2.711999893E1,2.369999886E1,-6.053999710E1,7.044342082E1
1.155748855E0,-2.676000023E1,2.400000000E1,-6.047999954E1,7.035572441E1
1.165748855E0,-2.747999954E1,2.292000008E1,-5.981999969E1,6.970587595E1
1.175748855E0,-2.795999908E1,2.303999901E1,-5.934000015E1,6.952581334E1
1.185749721E0,-2.681999969E1,2.369999886E1,-5.802000046E1,6.817127535E1
1.195749721E0,-2.639999962E1,2.400000000E1,-5.777999878E1,6.790793944E1
1.205749754E0,-2.651999855E1,2.400000000E1,-5.843999863E1,6.851674075E1
1.215749754E0,-2.627999878E1,2.327999878E1,-5.934000015E1,6.894804056E1
1.225749754E0,-2.687999916E1,2.268000031E1,-6.095999908E1,7.037782504E1
1.235749754E0,-2.742000008E1,2.231999969E1,-6.102000046E1,7.052289874E1
1.245749754E0,-2.663999939E1,2.273999977E1,-6.071999741E1,7.009789756E1
1.255749754E0,-2.639999962E1,2.339999962E1,-6.041999817E1,6.996496367E1
1.265749754E0,-2.693999863E1,2.345999908E1,-6.041999817E1,7.019053541E1
1.275749754E0,-2.700000000E1,2.345999908E1,-6.029999924E1,7.011035205E1
1.285748920E0,-2.669999886E1,2.303999901E1,-5.843999863E1,6.825661091E1
1.295748953E0,-2.651999855E1,2.285999870E1,-5.819999695E1,6.792002288E1
1.305748919E0,-2.663999939E1,2.292000008E1,-5.807999802E1,6.788447643E1
1.315748919E0,-2.681999969E1,2.297999954E1,-5.885999680E1,6.864322243E1
1.325748919E0,-2.753999901E1,2.387999916E1,-6.071999741E1,7.082107024E1
1.335748519E0,-2.795999908E1,2.376000023E1,-6.059999847E1,7.084249413E1
1.345748485E0,-2.711999893E1,2.435999870E1,-6.047999954E1,7.061681261E1
1.355748485E0,-2.681999969E1,2.400000000E1,-6.041999817E1,7.032701161E1
1.365748485E0,-2.711999893E1,2.303999901E1,-5.981999969E1,6.960436955E1
1.375748485E0,-2.711999893E1,2.297999954E1,-6.029999924E1,6.999760445E1
1.385749385E0,-2.759999847E1,2.231999969E1,-6.029999924E1,6.997165290E1
1.395749385E0,-2.742000008E1,2.268000031E1,-6.011999893E1,6.986167111E1
1.405749418E0,-2.705999947E1,2.303999901E1,-6.053999710E1,7.020097132E1
1.415749418E0,-2.735999870E1,2.279999924E1,-5.952000046E1,6.936166051E1
1.425749418E0,-2.742000008E1,2.279999924E1,-5.981999969E1,6.964286563E1
1.435749418E0,-2.742000008E1,2.292000008E1,-5.945999908E1,6.937344087E1
1.445749418E0,-2.723999977E1,2.334000015E1,-5.969999695E1,6.964813587E1
1.455749418E0,-2.693999863E1,2.339999962E1,-5.987999725E1,6.970607993E1
1.465749418E0,-2.735999870E1,2.315999985E1,-5.963999939E1,6.958365217E1
1.475749418E0,-2.759999847E1,2.279999924E1,-5.915999985E1,6.914843066E1
1.485748551E0,-2.729999924E1,2.303999901E1,-5.952000046E1,6.941730308E1
