"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.603141845E0,1.673837006E-2,-6.396079063E-2,8.855342865E-2
8.703141845E0,3.005245328E-2,-4.563176632E-2,2.773857117E-2
8.803141845E0,2.686320245E-2,-5.639481544E-2,1.065483093E-1
8.903141745E0,-2.768039703E-3,-3.497469425E-2,5.020999908E-2
9.003141745E0,2.036626637E-2,-5.943131447E-2,-2.352523804E-2
9.103141745E0,4.085081816E-2,-1.440489292E-2,1.264562607E-1
9.203141745E0,-2.943228185E-2,-4.639863968E-2,9.630870819E-2
9.303141745E0,6.431597471E-2,-5.031561852E-2,1.367139816E-1
9.403141745E0,1.988737285E-2,-6.447839737E-2,2.833366394E-3
9.503141745E0,-1.224456728E-2,-3.364729881E-2,1.145286560E-1
9.603141745E0,1.979951560E-2,-5.040585995E-2,6.418514252E-2
9.703141745E0,6.502934545E-2,2.938485146E-2,2.184104919E-2
9.803141745E0,4.070229828E-2,5.765318871E-3,-4.049205780E-2
9.903141778E0,4.195728153E-2,-9.216332436E-2,8.099937439E-2
1.000314178E1,1.557575166E-2,-1.097214222E-2,8.673667908E-3
1.010314178E1,1.653802395E-2,1.967215538E-2,-1.950359344E-2
1.020314178E1,4.352350533E-2,4.676985741E-2,-4.846286774E-2
1.030314178E1,2.869835496E-2,2.664966583E-1,-1.533536911E-1
1.040314178E1,-2.076496780E-1,4.423582554E-1,-5.458602905E-1
1.050314178E1,-2.903875411E-1,1.106987357E0,-8.636636734E-1
1.060314178E1,-1.963691562E-1,7.208021879E-1,-1.828079224E-1
1.070314184E1,2.183354795E-1,9.015296698E-1,-8.343563080E-1
1.080314184E1,1.125650406E0,6.091904640E-1,-6.959066391E-1
1.090314198E1,8.075754642E-1,1.398260593E0,-4.065513611E-1
1.100314198E1,1.128126979E0,1.091150165E0,3.254066467E0
1.110314198E1,-1.521011591E0,-1.701359272E0,2.915661812E0
1.120314198E1,-3.299409151E-1,-6.466062069E-1,-2.031228065E0
1.130314284E1,-5.778071284E-1,-3.678321242E-1,-1.851497650E0
1.140314284E1,-6.982597113E-1,5.294179916E-2,-1.322628975E0
1.150314281E1,-7.172083855E-2,9.480595589E-2,8.812074661E-1
1.160314244E1,4.904429615E-1,-1.137680650E0,3.019932747E0
