"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.565890000E-3,1.227075532E-1,1.546252668E-1,2.290744742E-4
1.015388900E-1,-5.688682571E-2,6.238461286E-2,-2.237293869E-2
2.015658900E-1,-2.390010282E-2,2.451096848E-2,3.894265974E-3
3.015688900E-1,2.069306001E-2,-1.641700417E-2,1.427897532E-2
4.015775560E-1,-1.534798928E-2,-9.697485715E-3,1.427897532E-2
5.015775560E-1,3.588833380E-3,-1.091921609E-2,2.290744742E-4
6.015789560E-1,1.458440814E-2,3.130684374E-3,1.305724494E-2
7.015789560E-1,-2.328923717E-2,-2.741257846E-2,8.170322515E-3
8.015828130E-1,-6.872233935E-4,1.046106778E-2,1.672243699E-2
9.015828130E-1,2.496911772E-2,2.084577642E-2,6.337726954E-3
1.001585813E0,6.032294128E-3,6.872233935E-4,-3.436116967E-3
1.103247961E0,9.697485715E-3,-4.199698567E-3,-7.712173741E-3
1.203250415E0,4.199698567E-3,1.351539325E-2,-9.544769302E-3
1.303250498E0,6.772968173E-2,2.817615867E-2,2.710714564E-2
1.403252498E0,-6.872233935E-4,-9.086620063E-3,6.337726954E-3
1.503252855E0,-2.695442922E-2,-8.475755341E-3,1.244637929E-2
1.603253255E0,-2.939788997E-2,2.695442922E-2,1.427897532E-2
1.703253317E0,6.643159315E-3,1.290452853E-2,2.466368489E-2
1.803254905E0,5.421428941E-3,3.123048507E-2,5.115996581E-3
1.903254905E0,-1.351539325E-2,8.628471754E-3,7.559457328E-3
2.003256326E0,-9.850202128E-3,-2.069306001E-2,1.061378326E-2
2.103256326E0,2.985603921E-2,-5.345070967E-4,-3.436116967E-3
2.203257611E0,5.421428941E-3,-6.643159315E-3,-1.443169173E-2
2.303257611E0,-2.573269792E-2,-1.145372284E-3,-1.259909570E-2
2.403258741E0,-9.850202128E-3,-5.345070967E-4,6.948592141E-3
2.503258741E0,-1.473712362E-2,-1.275181212E-2,8.781188168E-3
2.603258981E0,-1.595885493E-2,-9.697485715E-3,7.559457328E-3
2.703258981E0,1.091921609E-2,-3.168863431E-2,3.199406713E-2
2.803259981E0,3.901901841E-2,1.168279815E-2,5.726861767E-3
2.903260088E0,-8.628471754E-3,-1.519527286E-2,1.450804994E-3
3.003261019E0,3.588833380E-3,-1.641700417E-2,2.290744742E-4
3.103261019E0,-2.023491077E-2,-2.977967961E-3,-9.544769302E-3
3.203261019E0,-3.123048507E-2,-1.091921609E-2,-7.712173741E-3
3.303260819E0,2.496911772E-2,2.084577642E-2,2.290744742E-4
3.403260819E0,3.291036561E-2,1.901318133E-2,-5.268712528E-3
3.503260819E0,-9.239336476E-3,2.267837152E-2,-1.076649968E-2
3.603260785E0,2.069306001E-2,1.656972058E-2,1.183551457E-2
3.703141651E0,4.207334295E-2,2.390010282E-2,1.366810966E-2
3.803141651E0,1.458440814E-2,-1.824959926E-2,-1.320996135E-2
3.903141784E0,4.199698567E-3,-4.199698567E-3,-1.015563495E-2
4.003141784E0,-5.566509441E-2,-2.985603921E-2,8.781188168E-3
4.103141784E0,-3.550654277E-2,-1.275181212E-2,1.305724494E-2
4.203141784E0,-2.023491077E-2,-6.032294128E-3,1.450804994E-3
4.303141750E0,2.435825206E-2,-1.214094646E-2,-1.603521290E-3
4.403141750E0,-1.229366288E-2,-2.977967961E-3,-5.879578181E-3
4.503141583E0,-6.185010541E-3,-1.756237587E-3,-6.490443368E-3
4.603141349E0,3.107776865E-2,-4.810563754E-3,8.399396902E-4
4.703141315E0,-1.046106778E-2,-1.275181212E-2,1.244637929E-2
4.803141315E0,-6.872233935E-4,-1.641700417E-2,7.559457328E-3
4.903141315E0,1.397354249E-2,-4.199698567E-3,1.794416644E-2
5.003141315E0,-1.046106778E-2,-1.458440814E-2,-2.825251780E-3
5.103141415E0,7.864889689E-3,1.908953884E-3,4.505131394E-3
5.203141415E0,1.580613852E-2,-2.367102774E-3,-4.046982154E-3
5.303141448E0,1.153008174E-2,-4.199698567E-3,-1.198823005E-2
5.403141448E0,1.275181212E-2,-4.810563754E-3,3.283400787E-3
5.503141448E0,2.977967961E-3,-4.199698567E-3,-1.015563495E-2
5.603141214E0,-3.367394581E-2,-1.519527286E-2,8.399396902E-4
5.703141214E0,1.763873361E-2,7.635815564E-5,2.290744742E-4
5.803141214E0,-2.519819187E-3,-7.254024968E-3,7.559457328E-3
5.903141214E0,4.451680556E-2,2.328923717E-2,1.305724494E-2
6.003141214E0,1.030835137E-2,6.795875728E-3,1.488984004E-2
6.103141214E0,-2.519819187E-3,4.963280167E-3,8.170322515E-3
6.203141214E0,3.596469015E-2,-4.810563754E-3,-1.015563495E-2
6.303141214E0,-2.519819187E-3,1.046106778E-2,-1.076649968E-2
6.403141214E0,4.199698567E-3,-1.145372284E-3,2.290744742E-4
6.503141214E0,-6.872233935E-4,-1.030835137E-2,7.559457328E-3
6.603141214E0,-1.534798928E-2,-4.199698567E-3,2.061670180E-3
6.703141214E0,-2.519819187E-3,7.635815564E-5,-4.046982154E-3
6.803141214E0,-2.084577642E-2,2.451096848E-2,3.283400787E-3
6.903141080E0,-1.107193250E-2,-8.475755341E-3,-1.748601720E-2
7.003141080E0,2.977967961E-3,4.352414981E-3,-8.933904581E-3
7.103141080E0,9.086620063E-3,-8.475755341E-3,-2.214386594E-3
7.203141080E0,1.091921609E-2,9.239336476E-3,1.122464892E-2
7.303141080E0,8.475755341E-3,-2.367102774E-3,1.672243699E-2
7.403141080E0,1.702786796E-2,-7.254024968E-3,2.099849284E-2
7.503141080E0,1.030835137E-2,7.635815564E-5,2.672535367E-3
7.603141313E0,1.886046492E-2,1.298088697E-3,8.170322515E-3
7.703141313E0,9.697485715E-3,-1.756237587E-3,2.672535367E-3
7.803141313E0,-1.473712362E-2,-1.641700417E-2,1.122464892E-2
7.903141313E0,2.496911772E-2,4.963280167E-3,6.337726954E-3
8.003141313E0,-4.963280167E-3,-1.756237587E-3,8.399396902E-4
8.103141213E0,1.153008174E-2,-3.588833380E-3,2.290744742E-4
8.203141213E0,5.421428941E-3,-1.145372284E-3,4.505131394E-3
8.303141179E0,-3.741549561E-3,-3.168863431E-2,2.290744742E-4
8.403141179E0,1.763873361E-2,-9.086620063E-3,-1.626428775E-2
8.503141212E0,1.214094646E-2,2.817615867E-2,-1.137736533E-2
8.603141845E0,7.254024968E-3,1.351539325E-2,-3.436116967E-3
8.703141845E0,5.345070967E-4,8.017606102E-3,-9.926559869E-4
8.803141845E0,3.168863431E-2,8.017606102E-3,-3.817907709E-4
8.903141745E0,1.641700417E-2,-9.697485715E-3,5.726861767E-3
9.003141745E0,3.588833380E-3,9.239336476E-3,2.672535367E-3
9.103141745E0,-6.872233935E-4,-5.345070967E-4,-3.817907709E-4
9.203141745E0,-7.635815564E-5,-1.145372284E-3,-2.214386594E-3
9.303141745E0,2.367102774E-3,-5.345070967E-4,1.122464892E-2
9.403141745E0,1.030835137E-2,2.519819187E-3,2.290744742E-4
9.503141745E0,-1.351539325E-2,-2.680171281E-2,-5.268712528E-3
9.603141745E0,2.008219436E-2,-1.336267684E-2,-4.046982154E-3
9.703141745E0,2.069306001E-2,4.352414981E-3,-2.825251780E-3
9.803141745E0,1.275181212E-2,-1.275181212E-2,-1.259909570E-2
9.903141778E0,-2.519819187E-3,-1.145372284E-3,-2.115120925E-2
1.000314178E1,-1.840231568E-2,-7.864889689E-3,-1.015563495E-2
1.010314178E1,-3.130684374E-3,5.574145354E-3,-8.933904581E-3
1.020314178E1,7.864889689E-3,4.963280167E-3,-4.657847341E-3
1.030314178E1,-1.901318133E-2,3.611740842E-2,-8.345946670E-2
1.040314178E1,-7.154759020E-2,7.521278411E-2,-1.207222417E-1
1.050314178E1,1.709659100E-1,-5.978843570E-2,-8.712465316E-2
1.060314178E1,-2.987894714E-1,4.222606122E-2,-4.375322163E-2
1.070314184E1,-6.971499324E-2,-9.338602424E-2,1.932624876E-1
1.080314184E1,-3.672827408E-2,-1.104902476E-1,-1.366047412E-1
1.090314198E1,-1.863902509E-1,-7.139487565E-2,-1.610393524E-1
1.100314198E1,-2.987894714E-1,2.493093759E-1,-1.097266674E-1
