"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.841565305E0,-1.043999958E1,-2.753999901E1,-3.491999817E1
8.941565305E0,-1.055999947E1,-2.700000000E1,-3.552000046E1
9.041565305E0,-1.001999950E1,-2.651999855E1,-3.384000015E1
9.141565305E0,-6.480000019E0,-2.261999893E1,-4.289999771E1
9.241565305E0,-7.199999809E0,-2.327999878E1,-4.200000000E1
9.341565305E0,-6.659999847E0,-2.279999924E1,-4.325999832E1
9.441565305E0,-7.139999866E0,-2.334000015E1,-4.236000061E1
9.541565305E0,-5.879999638E0,-2.177999878E1,-4.355999756E1
9.641565305E0,-6.719999790E0,-2.327999878E1,-4.175999832E1
9.741565305E0,-6.839999676E0,-2.292000008E1,-4.223999786E1
9.841565305E0,-7.199999809E0,-2.273999977E1,-4.313999939E1
9.941565305E0,-6.179999828E0,-2.226000023E1,-4.331999969E1
1.004156530E1,-8.039999962E0,-2.387999916E1,-4.109999847E1
1.014156530E1,-7.440000057E0,-2.292000008E1,-4.271999741E1
1.024156530E1,-6.659999847E0,-2.285999870E1,-4.175999832E1
1.034156531E1,-6.179999828E0,-2.202000046E1,-4.355999756E1
1.044156531E1,-6.420000076E0,-2.273999977E1,-4.295999908E1
1.054156530E1,-7.379999638E0,-2.519999886E1,-3.702000046E1
1.064156530E1,-6.480000019E0,-2.387999916E1,-4.284000015E1
1.074156530E1,-6.599999905E0,-2.093999863E1,-4.427999878E1
1.084156531E1,-7.799999714E0,-1.968000031E1,-4.487999725E1
1.094156531E1,-8.220000267E0,-1.968000031E1,-4.373999786E1
1.104156530E1,-7.199999809E0,-1.835999870E1,-4.547999954E1
1.114156530E1,-6.719999790E0,-1.853999901E1,-4.553999710E1
1.124156530E1,-4.980000019E0,-2.081999969E1,-4.404000092E1
1.134156531E1,-4.319999695E0,-1.776000023E1,-4.613999939E1
1.144156531E1,-4.619999886E0,-1.757999992E1,-4.397999954E1
1.154156530E1,-4.859999657E0,-1.829999924E1,-4.386000061E1
1.164156530E1,-6.299999714E0,-1.835999870E1,-4.391999817E1
1.174156530E1,-6.960000038E0,-1.865999985E1,-4.043999863E1
1.184156531E1,-5.279999733E0,-1.529999924E1,-4.518000031E1
1.194156531E1,-4.739999771E0,-1.415999985E1,-4.452000046E1
1.204156530E1,-7.319999695E0,-1.781999969E1,-3.918000031E1
1.214156530E1,-5.879999638E0,-1.757999992E1,-4.241999817E1
1.224156530E1,-6.719999790E0,-1.842000008E1,-4.218000031E1
1.234156531E1,-6.480000019E0,-1.565999985E1,-4.373999786E1
1.244156531E1,-6.119999886E0,-1.505999947E1,-4.355999756E1
1.254156530E1,-6.059999943E0,-1.583999920E1,-4.205999756E1
1.264156530E1,-6.719999790E0,-1.505999947E1,-4.200000000E1
1.274156530E1,-7.739999771E0,-1.745999908E1,-4.061999893E1
1.284156531E1,-6.719999790E0,-1.523999977E1,-4.271999741E1
1.294156531E1,-6.000000000E0,-1.367999935E1,-4.307999802E1
1.304156530E1,-5.159999847E0,-1.403999996E1,-4.284000015E1
1.314156530E1,-5.579999924E0,-1.547999954E1,-4.254000092E1
1.324156530E1,-6.239999771E0,-1.829999924E1,-4.109999847E1
1.334156531E1,-6.000000000E0,-1.637999916E1,-4.109999847E1
1.344156531E1,-5.759999752E0,-1.542000008E1,-4.241999817E1
1.354156530E1,-5.039999962E0,-1.547999954E1,-4.271999741E1
1.364156530E1,-7.319999695E0,-1.787999916E1,-4.055999756E1
1.374156531E1,-6.299999714E0,-1.650000000E1,-4.229999924E1
1.384156531E1,-5.639999866E0,-1.553999996E1,-4.241999817E1
1.394156531E1,-5.519999981E0,-1.559999943E1,-4.187999725E1
1.404156530E1,-6.480000019E0,-1.644000053E1,-4.368000031E1
1.414156530E1,-6.899999619E0,-1.811999893E1,-4.325999832E1
1.424156531E1,-6.480000019E0,-1.902000046E1,-3.918000031E1
1.434156531E1,-5.819999695E0,-1.631999969E1,-4.379999924E1
1.444156531E1,-6.779999733E0,-1.542000008E1,-4.457999802E1
1.454156530E1,-6.839999676E0,-1.602000046E1,-4.379999924E1
1.464156530E1,-7.259999752E0,-1.776000023E1,-4.127999878E1
1.474156531E1,-9.000000000E0,-1.889999962E1,-4.121999741E1
1.484156531E1,-1.013999939E1,-1.997999954E1,-3.750000000E1
1.494156531E1,-9.479999542E0,-1.727999878E1,-4.152000046E1
1.504156530E1,-9.239999771E0,-1.715999985E1,-4.163999939E1
1.514156530E1,-8.939999580E0,-1.752000046E1,-4.397999954E1
1.524156531E1,-7.859999657E0,-1.835999870E1,-4.265999985E1
1.534156531E1,-8.460000038E0,-1.752000046E1,-4.373999786E1
1.544156531E1,-8.399999619E0,-1.565999985E1,-4.409999847E1
1.554156530E1,-9.239999771E0,-1.565999985E1,-4.427999878E1
1.564156530E1,-1.013999939E1,-1.787999916E1,-3.989999771E1
1.574156531E1,-1.115999985E1,-1.895999908E1,-4.031999969E1
1.584156531E1,-1.013999939E1,-1.523999977E1,-4.289999771E1
1.594156531E1,-9.719999313E0,-1.235999966E1,-4.470000076E1
1.604156531E1,-9.539999962E0,-1.313999939E1,-4.379999924E1
1.614156530E1,-7.500000000E0,-1.289999962E1,-4.536000061E1
1.624156530E1,-7.019999981E0,-1.626000023E1,-4.187999725E1
1.634156530E1,-8.099999428E0,-1.589999962E1,-4.134000015E1
1.644156530E1,-6.179999828E0,-1.343999958E1,-4.625999832E1
1.654156531E1,-6.119999886E0,-1.367999935E1,-4.523999786E1
1.664156530E1,-7.379999638E0,-1.553999996E1,-4.320000076E1
1.674156530E1,-7.980000019E0,-1.589999962E1,-4.434000015E1
1.684156530E1,-8.279999733E0,-1.488000011E1,-4.559999847E1
1.694156530E1,-8.399999619E0,-1.529999924E1,-4.518000031E1
1.704156531E1,-7.259999752E0,-1.373999977E1,-4.727999878E1
1.714156530E1,-7.199999809E0,-1.596000004E1,-4.613999939E1
1.724156530E1,-6.179999828E0,-1.745999908E1,-4.487999725E1
1.734156530E1,-7.440000057E0,-1.727999878E1,-4.553999710E1
1.744156530E1,-6.299999714E0,-1.583999920E1,-4.637999725E1
1.754156531E1,-6.779999733E0,-1.697999954E1,-4.505999756E1
1.764156530E1,-8.399999619E0,-1.805999947E1,-4.350000000E1
1.774156530E1,-8.220000267E0,-1.776000023E1,-4.325999832E1
1.784156530E1,-8.639999390E0,-1.644000053E1,-4.307999802E1
1.794156530E1,-7.980000019E0,-1.475999928E1,-4.559999847E1
1.804156531E1,-7.379999638E0,-1.596000004E1,-4.470000076E1
1.814156530E1,-6.779999733E0,-1.619999886E1,-4.439999771E1
1.824156530E1,-6.239999771E0,-1.542000008E1,-4.457999802E1
1.834156530E1,-6.059999943E0,-1.421999931E1,-4.434000015E1
1.844156530E1,-6.179999828E0,-1.397999954E1,-4.500000000E1
1.854156531E1,-5.279999733E0,-1.277999973E1,-4.536000061E1
1.864156530E1,-7.679999828E0,-1.631999969E1,-4.037999725E1
1.874156530E1,-7.619999886E0,-1.571999931E1,-4.289999771E1
1.884156530E1,-6.719999790E0,-1.397999954E1,-4.415999985E1
1.894156530E1,-6.059999943E0,-1.392000008E1,-4.373999786E1
1.904156531E1,-5.699999809E0,-1.434000015E1,-4.355999756E1
1.914156530E1,-6.839999676E0,-1.685999870E1,-4.302000046E1
1.924156530E1,-6.599999905E0,-1.926000023E1,-3.857999802E1
1.934156530E1,-5.099999905E0,-1.818000031E1,-4.055999756E1
1.944156530E1,-4.440000057E0,-1.697999954E1,-4.091999817E1
1.954156531E1,-5.039999962E0,-1.661999893E1,-4.043999863E1
1.964156530E1,-5.699999809E0,-1.685999870E1,-3.941999817E1
1.974156530E1,-5.940000057E0,-1.847999954E1,-3.377999878E1
1.984156530E1,-5.519999981E0,-1.679999924E1,-3.984000015E1
1.994156530E1,-4.380000114E0,-1.434000015E1,-4.175999832E1
2.004156531E1,-3.839999914E0,-1.361999989E1,-4.313999939E1
2.014156530E1,-4.619999886E0,-1.668000031E1,-4.013999939E1
2.024156530E1,-5.639999866E0,-2.010000038E1,-3.359999847E1
2.034156530E1,-7.619999886E0,-2.010000038E1,-3.539999771E1
2.044156530E1,-5.039999962E0,-1.571999931E1,-3.834000015E1
2.054156531E1,-5.460000038E0,-1.559999943E1,-3.857999802E1
2.064156530E1,-5.699999809E0,-1.529999924E1,-3.870000076E1
2.074156530E1,-4.920000076E0,-1.577999973E1,-3.702000046E1
2.084156530E1,-8.340000153E0,-1.811999893E1,-3.281999969E1
2.094156530E1,-8.460000038E0,-2.039999962E1,-1.902000046E1
2.104156531E1,-6.599999666E-1,-1.253999996E1,-3.936000061E1
