"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.944843124E1,5.687631965E-1,8.038853109E-2,1.867437363E-1
1.964843124E1,-2.016838491E-1,-1.975399852E-1,-9.913539886E-2
1.984843124E1,-1.272418797E-1,5.081070960E-2,1.031198502E-1
2.004843124E1,-7.803006470E-2,-3.357484937E-3,-7.715225220E-4
2.024843124E1,-7.347077131E-3,5.765837431E-2,2.751674652E-1
2.044843124E1,-1.984100044E-2,4.098767042E-2,1.965665817E-1
2.064843124E1,7.774814963E-3,7.898464799E-2,1.034479141E-1
2.084843124E1,6.224720180E-2,5.401286483E-2,7.276725769E-2
2.104843124E1,2.715811133E-2,5.448797345E-2,1.060695648E-1
2.124843124E1,8.717080951E-2,-1.418213546E-2,-8.303642273E-3
2.144843124E1,6.224527955E-3,7.861286402E-2,2.309255600E-1
2.164843124E1,2.098113298E-3,9.562790394E-3,1.660232544E-1
2.184843124E1,-3.885418177E-3,3.350296617E-2,4.821777344E-2
2.204843124E1,4.223985970E-2,1.012927964E-1,1.441669464E-2
2.224843124E1,-1.226322204E-1,8.906389773E-2,4.514503479E-2
2.244843124E1,-1.125352606E-1,3.224743158E-2,1.212892532E-1
2.264843124E1,3.814712167E-2,2.324987948E-1,2.131986618E-1
2.284843124E1,2.267311513E-2,2.730246186E-1,9.993457794E-2
2.304843124E1,1.734546721E-1,2.995186448E-1,5.311012268E-3
2.324843124E1,-3.826335073E-2,4.552268386E-1,6.496200562E-1
2.344843124E1,-2.343512028E-1,-1.374848604E0,2.034502029E0
2.364843124E1,-5.896095634E-1,-9.847265482E-1,7.404422760E-1
2.384843124E1,-7.253227234E-1,-4.331409931E-3,-7.090663910E-1
2.404843124E1,7.245481014E-3,-9.546773434E-1,1.011737823E0
2.424843124E1,1.447803676E-1,-1.409538627E0,1.000547409E-1
2.444843124E1,2.684504986E-1,-1.111130118E-1,6.364727020E-2
2.464843124E1,-1.937086880E-1,-5.589474440E-1,9.181547165E-1
2.484843124E1,-2.125174850E-1,-4.637511969E-1,-2.610140324E0
2.504843124E1,-3.798203468E-1,-1.543379724E-1,-4.606018066E-1
2.524843124E1,-6.262423396E-1,-6.370645761E-2,6.730813980E-1
2.544843124E1,-1.199310645E-1,-1.150723815E0,-4.134740829E-1
2.564843124E1,-4.428225756E-2,-5.417454839E-1,-1.818561554E-2
2.584843124E1,9.182515740E-2,-1.876191795E-1,3.995914459E-1
2.604843124E1,-9.300029278E-2,-4.365954548E-2,3.004856110E-1
2.624843124E1,-7.473969460E-2,3.265429437E-1,-1.455898285E-1
2.644843124E1,1.680633426E-2,1.788093448E-1,2.498693466E-1
2.664843124E1,4.350106046E-2,3.003828973E-2,1.114788055E-1
2.684843124E1,2.387428284E-2,-1.731890291E-1,1.026096344E-1
2.704843124E1,-7.969769090E-2,-1.392012835E-2,1.270971298E-1
2.724843124E1,4.791022837E-2,5.236852169E-2,1.172771454E-1
2.744843124E1,-6.628625840E-2,8.252488077E-2,1.793317795E-1
2.764843124E1,-4.878284037E-2,2.645380795E-2,1.624250412E-1
2.784843124E1,2.686814964E-2,2.428290248E-2,6.679534912E-2
2.804843124E1,-2.343595028E-3,5.758374929E-3,1.879596710E-2
2.824843124E1,5.194461346E-2,5.705997348E-3,7.405948639E-2
2.844843124E1,9.939454496E-3,6.058226526E-2,1.429347992E-1
2.864843124E1,2.594387531E-2,-1.859986782E-2,-1.002225876E-1
2.884843124E1,3.683926165E-2,5.305048823E-2,3.386497498E-2
2.904843124E1,-2.350642160E-2,2.063000202E-2,2.427101135E-3
2.924843124E1,-6.503431499E-2,-1.479834318E-4,9.387111664E-2
2.944843124E1,-2.653486654E-2,2.500043809E-2,6.744384766E-2
2.964843124E1,-1.716945320E-2,-6.624832749E-3,1.178741455E-1
2.984843124E1,8.402300626E-2,1.043210924E-2,4.786300659E-2
3.004843124E1,1.748146117E-2,-1.791764796E-2,5.037784576E-2
3.024843124E1,3.519696742E-2,3.905594349E-2,2.156848907E-1
3.044843124E1,-4.842874408E-2,-5.687624216E-4,7.894134521E-2
3.064843124E1,3.566392884E-2,9.315511584E-2,1.288108826E-1
3.084843124E1,-1.531466562E-2,-6.238567829E-2,1.147060394E-1
